,CaseID,Model,Scaler,Without PCA,With PCA
0,1,MLPRegressor,RobustScaler,"{'RMSE_train': 130.20515530937843, 'RMSE_valid': 273.0749831915115, 'RMSE_test': 299.4982563412319, 'RMSE_test (fit on train + validation)': 282.28555345100824}","{'RMSE_train': 200.29941340053549, 'RMSE_valid': 282.30052726212534, 'RMSE_test': 316.76374393377455, 'RMSE_test (fit on train + validation)': 338.7832754138856}"
1,1,SVR,RobustScaler,"{'RMSE_train': 233.29670996363774, 'RMSE_valid': 246.20102381235606, 'RMSE_test': 313.6827760634064, 'RMSE_test (fit on train + validation)': 304.27600386279676}","{'RMSE_train': 251.97553012868977, 'RMSE_valid': 263.09006468283405, 'RMSE_test': 336.49651039235977, 'RMSE_test (fit on train + validation)': 381.2396884093236}"
