;model;best_params;best_score
0;svr;{'model__kernel': 'rbf', 'model__degree': 4, 'model__C': 1000.0};0.744154038
1;mlp;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 10, 5), 'model__alpha': 0.0002};0.715624227
