,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_iter,param_model__hidden_layer_sizes,param_model__alpha,param_model__activation,param_PCA__n_components,params,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
26,35.634247636795045,0.22271096893578893,0.004821348190307617,0.003727791481817044,10000,"(15, 10, 10, 1)",0.0001,logistic,8,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'logistic', 'PCA__n_components': 8}",-797.9500352230448,-660.4214923465825,-593.2077521708477,-651.3210063408909,-701.9433276802149,-680.9687227523161,68.01135970176696,18,-0.5645870689902293,-0.6245002141309894,-0.7732731771716397,-0.6959516092927132,-0.6078575416849918,-0.6532339222541127,0.07345356355784224,18
18,42.0958242893219,0.7391004524568643,0.005831384658813476,0.001620910010794397,10000,"(20, 15, 10, 1)",0.0003,logistic,12,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'logistic', 'PCA__n_components': 12}",-797.9568114529135,-660.4325012718319,-593.2159133843821,-651.327750653192,-701.9493921098959,-680.9764737744431,68.01070541578102,19,-0.5646136421995218,-0.6245543739386017,-0.7733219700626717,-0.6959867320245408,-0.6078853239310358,-0.6532724084312743,0.07345951328754038,19
6,85.30012254714966,5.280440994782099,0.008220863342285157,0.0005078236127059288,20000,"(15, 10, 10, 1)",0.0003,relu,9,"{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'relu', 'PCA__n_components': 9}",-798.3514202636344,-660.8356716597453,-593.6469896778276,-651.7462251170252,-702.3566581363374,-681.387392970914,67.99947678142513,20,-0.5661615028903288,-0.6265384438758188,-0.7759001706606614,-0.6981667562458751,-0.6097516323575676,-0.6553037012060503,0.07379635825496372,20
2,70.31329460144043,1.4156750489705203,0.008064174652099609,0.0031187303662677346,20000,"(20, 15, 10, 1)",0.0002,relu,7,"{'model__max_iter': 20000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'relu', 'PCA__n_components': 7}",-799.1847589661236,-661.7038441668791,-594.5683821819508,-652.6436482071877,-703.2148031543686,-682.2630873353019,67.97059166810924,21,-0.5694328045542905,-0.630814979186056,-0.7814171562619796,-0.7028465632584369,-0.6136876504207323,-0.6596398307362991,0.07453364510431061,21
1,0.009600162506103516,0.001959819706595123,0.0,0.0,10000,"(15, 10, 10, 1)",0.0001,relu,18,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'relu', 'PCA__n_components': 18}",,,,,,,,22,,,,,,,,22
35,0.008613300323486329,0.0032989482303160513,0.0,0.0,20000,"(20, 15, 10, 1)",0.0001,logistic,19,"{'model__max_iter': 20000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'logistic', 'PCA__n_components': 19}",,,,,,,,22,,,,,,,,22
31,0.009279394149780273,0.0006028930091472177,0.0,0.0,10000,"(20, 15, 10, 1)",0.0001,logistic,17,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'logistic', 'PCA__n_components': 17}",,,,,,,,22,,,,,,,,22
3,0.01077580451965332,0.0025334544129984563,0.0,0.0,10000,"(15, 15, 10)",0.0003,relu,15,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0003, 'model__activation': 'relu', 'PCA__n_components': 15}",,,,,,,,22,,,,,,,,22
29,0.011204004287719727,0.0016014662174891785,0.0,0.0,10000,"(15, 10, 10, 1)",0.0003,logistic,17,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'logistic', 'PCA__n_components': 17}",,,,,,,,22,,,,,,,,22
28,0.009226036071777344,0.0016144307811655596,0.0,0.0,20000,"(20, 15, 10, 1)",0.0002,logistic,15,"{'model__max_iter': 20000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'logistic', 'PCA__n_components': 15}",,,,,,,,22,,,,,,,,22
